Software Name,Users,Market Segment,Rating,Product Link,Pricing,Industries,User,MarketSegment
HubSpot Marketing Hub," Marketing Manager, Marketing Coordinator"," 54% Small-Business, 40% Mid-Market",4.4 out of 5,https://www.g2.com/products/hubspot-marketing-hub/reviews,Pricing Unavailable,"Computer Software, Marketing and Advertising",,"54% Small-Business, 40% Mid-Market"
Insider," Digital Marketing Manager, Digital Marketing Specialist"," 45% Mid-Market, 29% Small-Business",4.8 out of 5,https://www.g2.com/products/insider/reviews,Pricing Unavailable,"Retail, Apparel & Fashion",,"45% Mid-Market, 29% Small-Business"
ActiveCampaign," Owner, CEO"," 93% Small-Business, 7% Mid-Market",4.5 out of 5,https://www.g2.com/products/activecampaign/reviews,Pricing Unavailable,"Marketing and Advertising, Health, Wellness and Fitness",,"93% Small-Business, 7% Mid-Market"
Braze," CRM Manager, Marketing Manager"," 58% Mid-Market, 23% Enterprise",4.5 out of 5,https://www.g2.com/products/braze/reviews,Pricing Unavailable,"Financial Services, Marketing and Advertising",,"58% Mid-Market, 23% Enterprise"
Mailchimp All-in-One Marketing Platform," Owner, Marketing Manager"," 72% Small-Business, 20% Mid-Market",4.4 out of 5,https://www.g2.com/products/mailchimp-all-in-one-marketing-platform/reviews,Free,"Marketing and Advertising, Information Technology and Services",,"72% Small-Business, 20% Mid-Market"
Iterable," Email Marketing Manager, Lifecycle Marketing Manager"," 55% Mid-Market, 29% Small-Business",4.5 out of 5,https://www.g2.com/products/iterable/reviews,Pricing Unavailable,"Marketing and Advertising, Health, Wellness and Fitness",,"55% Mid-Market, 29% Small-Business"
Klaviyo," Owner, CEO"," 82% Small-Business, 16% Mid-Market",4.6 out of 5,https://www.g2.com/products/klaviyo/reviews,Pricing Unavailable,"Retail, Marketing and Advertising",,"82% Small-Business, 16% Mid-Market"
CleverTap," Product Manager, Senior Product Manager"," 54% Mid-Market, 32% Small-Business",4.6 out of 5,https://www.g2.com/products/clevertap/reviews,Pricing Unavailable,"Financial Services, Information Technology and Services",,"54% Mid-Market, 32% Small-Business"
Thryv," Owner, President"," 97% Small-Business, 3% Mid-Market",4.6 out of 5,https://www.g2.com/products/thryv/reviews,Pricing Unavailable,"Construction, Consumer Services",,"97% Small-Business, 3% Mid-Market"
Bloomreach," Marketing Specialist, CRM Manager"," 48% Mid-Market, 29% Small-Business",4.6 out of 5,https://www.g2.com/products/bloomreach-bloomreach/reviews,Contact Us,"Retail, Marketing and Advertising",,"48% Mid-Market, 29% Small-Business"
Brevo Marketing Platform," Founder, CEO"," 82% Small-Business, 15% Mid-Market",4.5 out of 5,https://www.g2.com/products/brevo-marketing-platform/reviews,Pricing Unavailable,"Marketing and Advertising, Information Technology and Services",,"82% Small-Business, 15% Mid-Market"
